publish_date,headline_category,headline_text,Label
20090816,others.news-interviews,I want my market value: Priya Mani,
20090818,city.kolkata,See the world through Bilal's eyes,
20090820,city.nagpur,Ambedkar scoffs at United RPI,
20090821,home.environment.global-warming,Climate change talks: India indulges in balancing act,
20090822,city.mumbai,State fiat to hoarders,
20090823,city.lucknow,Poll 2012 to be fought between BSP; Cong: Tiwari,
20090827,world.uk,UK council sorry for making 'Paki' remark,
20090902,business.india-business,Asarco race: Setback for Sterlite,
20090904,city.chandigarh,Bail plea of Disodia's husband rejected,
20090904,regional,Celebs pay tribute to the 'King of Pop',
